country_name,city_count
South Sudan,1
Sao Tome and Principe,5
Vanuatu,7
Cayman Islands,7
Grenada,7
Solomon Islands,7
Nauru,7
Barbados,7
"Bonaire, Sint Eustatius and Saba",8
Seychelles,8
Tonga,8
Saint Vincent and the Grenadines,9
Madagascar,9
Antigua and Barbuda,9
Tuvalu,9
Bahrain,9
San Marino,9
Bermuda,9
Brunei,9
New Caledonia,10
Andorra,10
Liechtenstein,11
Eritrea,11
Lesotho,12
Djibouti,12
Rwanda,12
Suriname,13
Saint Kitts and Nevis,13
Belize,13
Guyana,14
Guinea-Bissau,14
Qatar,15
Man (Isle of),16
Palau,16
Burundi,17
Dominica,17
Congo,17
Liberia,18
Virgin Islands (US),20
Samoa,20
Fiji Islands,20
The Bahamas,21
Maldives,21
Togo,22
Cape Verde,24
Equatorial Guinea,24
Kuwait,25
Trinidad and Tobago,25
Singapore,26
Lebanon,26
Hong Kong S.A.R.,27
Gabon,28
Oman,28
Faroe Islands,29
Turkmenistan,30
Montenegro,34
Eswatini,34
Benin,36
Mozambique,38
Kiribati,38
Mongolia,39
United Arab Emirates,39
Taiwan,40
Mauritania,42
Central African Republic,43
Somalia,46
Mali,47
Namibia,48
Timor-Leste,50
Chad,50
Libya,51
Kyrgyzstan,53
Guinea,54
Jersey,54
Bhutan,57
Malawi,61
Bangladesh,64
Angola,67
Democratic Republic of the Congo,67
Tajikistan,70
Niger,70
Zambia,71
Sudan,71
Moldova,72
Senegal,73
Myanmar,74
Iceland,74
Botswana,75
Laos,76
Nepal,77
Puerto Rico,78
North Korea,80
Micronesia,81
Jordan,82
Cote D'Ivoire (Ivory Coast),85
Malta,87
Comoros,88
Sierra Leone,90
Uganda,91
Afghanistan,92
Burkina Faso,92
Cyprus,95
El Salvador,100
Papua New Guinea,101
The Gambia ,104
Cambodia,106
Zimbabwe,109
Kenya,110
Georgia,112
Ecuador,114
Ghana,121
Haiti,124
Latvia,125
Lithuania,129
Albania,130
Palestinian Territory Occupied,132
Uzbekistan,135
Iraq,135
Venezuela,136
Cameroon,139
Paraguay,140
Syria,142
Ethiopia,144
Luxembourg,144
Sri Lanka,147
Israel,150
Nicaragua,155
Egypt,157
New Zealand,159
Costa Rica,159
Estonia,162
Tunisia,165
Mauritius,168
Azerbaijan,178
Malaysia,180
Cuba,187
Uruguay,187
North Macedonia,197
Dominican Republic,207
Morocco,224
Bolivia,228
Bosnia and Herzegovina,232
Slovakia,233
Kazakhstan,260
Algeria,293
Tanzania,299
Armenia,308
South Korea,309
Slovenia,311
South Africa,314
Belarus,329
Serbia,334
Yemen,342
Chile,346
Ireland,372
Saudi Arabia,382
Guatemala,382
Denmark,430
Finland,449
Pakistan,458
Nigeria,464
Saint Lucia,481
Peru,483
Vietnam,491
Bulgaria,504
Honduras,545
Belgium,549
Panama,600
Croatia,664
Norway,666
Indonesia,800
Sweden,800
Jamaica,840
Turkey,980
Greece,1058
Hungary,1074
Canada,1081
Colombia,1122
Argentina,1146
Thailand,1240
China,1295
Portugal,1311
Czech Republic,1355
Switzerland,1507
Netherlands,1653
Japan,1671
Iran,1854
Ukraine,1949
Austria,2361
Poland,3126
United Kingdom,3884
Australia,4152
India,4206
Russia,5398
Brazil,5639
Philippines,6520
Germany,7100
Romania,8081
Spain,8436
France,8894
Mexico,9331
Italy,9948
United States,19823
